Signatur;Titel;Form und Inhalt;Entstehungszeitraum;Bemerkungen zur Datierung;Bemerkungen zum Umfang;Sprachen;ID
B-I-ACKEW-1.2;Thomas Mann an Waldemar [?] Ackermann;Negativkopie der Abschrift des Briefentwurfes vom 12.01.1929 aus Ettal, maschinenschriftlich.;12.01.1929;Daten fehlen;5 Bl./5 S.;Deutsch;58489
B-I-ADAME-1;Thomas Mann an Stanislaw A. Adamek;Durchschlag zum Brief vom 15.07.1946 aus Pacific Palisades, maschinenschriftlich;15.07.1946;Daten fehlen;1 Bl./1 S.;Deutsch;48519
B-I-ADAML-1;Thomas Mann an Louis Adamic;Durchschlag zum Brief vom 04.09.1941 aus Pacific Palisades, maschinenschriftlich;04.09.1941;Daten fehlen;1 Bl./1 S.;Englisch;38158
B-I-ADAMM-1;Thomas Mann an Mildred Adams, Emergency Rescue Committee, New York;Kopie des Telegramms vom 30.09.1940 aus Los Angeles, maschinenschriftlich;30.09.1940;Daten fehlen;1 Bl./1 S.;Englisch;137512
B-I-ADAMM-2;Thomas Mann an Mildred Adams;Durchschlag zum Brief vom 16.10.1940 aus Princeton, maschinenschriftlich;16.10.1940;Daten fehlen;1 Bl./1 S.;Englisch;72977
B-I-ADAMM-3;Thomas Mann an Mildred Adams;Durchschlag zum Brief vom 22.10.1940 aus Princeton, maschinenschriftlich;22.10.1940;Daten fehlen;1 Bl./1 S.;Englisch;75099
B-I-ADAMM-4;Thomas Mann an Mildred Adams;Durchschlag zum Brief vom 30.11.1940 aus Princeton, maschinenschriftlich;30.11.1940;Daten fehlen;2 Bl./2 S.;Englisch;46325
B-I-ADAMW-1;Thomas Mann an William E. Adams;Durchschlag zum Brief vom 14.06.1946 aus Pacific Palisades, maschinenschriftlich;14.06.1946;Daten fehlen;1 Bl./2 S.;Englisch;72951
B-I-ADDA-1;Thomas Mann an Westlake Addams;Durchschlag zum Brief vom 04.11.1942 aus Pacific Palisades, maschinenschriftlich;04.11.1942;Daten fehlen;1 Bl./1 S.;Englisch;49512
B-I-ADEL-1;Thomas Mann an Ernest Adelberg;Durchschlag zum Brief vom 24.02.1950 aus Pacific Palisades, maschinenschriftlich;24.02.1950;Daten fehlen;1 Bl./1 S.;Deutsch;139189
B-I-ADELI-1;Thomas Mann an Irving Adelman;Durchschlag zum Brief vom 03.12.1946 aus Pacific Palisades, maschinenschriftlich;03.12.1946;Daten fehlen;1 Bl./1 S.;Englisch;96504
B-I-ADEV-1;Thomas Mann an die Redaktion von 'Adevarul', Bukarest;Nachweis des handschriftlichen Briefentwurfs ohne Datum und ohne Ort, zum Brief vom 13.07.1936 aus K�snacht (gem�ss Regest, Datums- und Ortsangabe wurde recherchiert);13.07.1936;Daten fehlen;Daten fehlen;Deutsch;25135
B-I-ADLE-1;Thomas Mann an Bruno Adler;"Kopie des Briefes vom 29.06.1947 aus Flims, maschinenschriftlich.
Kopie des Briefumschlags";29.06.1947;Daten fehlen;3 Bl./4 S.;Deutsch;126278
B-I-ADLEL-1;Thomas Mann an Lulla Adler;"Durchschlag zum Brief vom 29.10.1940 aus Princeton, maschinenschriftlich.
Briefumschlag, Original, mit dem Vermerk: ""returned to sender""";29.10.1940;Daten fehlen;1 Bl./1 S. + 1 Briefumschlag;Englisch;27919
B-I-ADLEN-1;Thomas Mann an Nelly Adler;Kopie der Briefkarte vom 02.12.1931 aus M�nchen, handschriftlich;02.12.1931;Daten fehlen;2 Bl./2 S.;Deutsch;134170
B-I-ADOL-1.1;Thomas Mann an Rudolf Adolph;"Kopie des Briefes vom 23.01.1954 aus Erlenbach, maschinenschriftlich.
Zus�tzlich vermerkt: mit handschriftlichen Korrekturen";23.01.1954;Daten fehlen;1 Bl./1 S.;Deutsch;128896
B-I-ADOL-1.2;Thomas Mann an Rudolf Adolph;Abschrift des Briefes vom 23.01.1954 aus Erlenbach, maschinenschriftlich;23.01.1954;Daten fehlen;1 Bl./1 S.;Deutsch;35582
B-I-ADOL-2;Thomas Mann an Rudolf Adolph;"Abschrift des Briefes vom 23.04.1955 aus Kilchberg, maschinenschriftlich.
Zus�tzlich vermerkt: mit kurzem Kommentar von Rudolf Adolph";23.04.1955;Daten fehlen;1 Bl./1 S.;Deutsch;55098
B-I-ADOR-1.1;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 05.10.1943 aus Pacific Palisades, handschriftlich;05.10.1943;Daten fehlen;2 Bl./2 S.;Deutsch;31961
B-I-ADOR-1.2;Thomas Mann an Theodor W. Adorno;Kopie der Abschrift des Briefes vom 05.10.1943 aus Pacific Palisades, maschinenschriftlich, mit handschriftlichen Korrekturen;05.10.1943;Daten fehlen;1 Bl./1 S.;Deutsch;69423
B-I-ADOR-2;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 27.09.1944 aus Pacific Palisades, handschriftlich;27.09.1944;Daten fehlen;1 Bl./1 S.;Deutsch;87056
B-I-ADOR-3;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 13.12.1944 aus Pacific Palisades, handschriftlich;13.12.1944;Daten fehlen;1 Bl./1 S.;Deutsch;68451
B-I-ADOR-4;Thomas Mann an Theodor W. Adorno;Kopie der Abschrift des Briefes vom 30.12.1945, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;30.12.1945;Daten fehlen;5 Bl./5 S.;Deutsch;140578
B-I-ADOR-5;Thomas Mann an Theodor W. Adorno und Gretel Adorno;Kopie der Ansichtskarte vom 19.05.1946 aus Chicago, handschriftlich;19.05.1946;Daten fehlen;2 Bl./2 S.;Deutsch;28640
B-I-ADOR-6;Thomas Mann an Theodor W. Adorno;Negativkopie des Briefes vom 08.11.1947 aus Pacific Palisades, handschriftlich;08.11.1947;Daten fehlen;1 Bl./2 S.;Deutsch;112922
B-I-ADOR-7;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 18.12.1947 aus Pacific Palisades, handschriftlich;18.12.1947;Daten fehlen;1 Bl./1 S.;Deutsch;72906
B-I-ADOR-8;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 02.07.1948 aus Pacific Palisades, handschriftlich;02.07.1948;Daten fehlen;1 Bl./1 S.;Deutsch;79099
B-I-ADOR-9;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 03.07.1948 aus Pacific Palisades, handschriftlich;03.07.1948;Daten fehlen;1 Bl./1 S.;Deutsch;126179
B-I-ADOR-10;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 12.07.1948 aus Pacific Palisades, handschriftlich;12.07.1948;Daten fehlen;2 Bl./2 S.;Deutsch;57791
B-I-ADOR-11;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 11.12.1948 aus Pacific Palisades, handschriftlich;11.12.1948;Daten fehlen;1 Bl./1 S.;Deutsch;128454
B-I-ADOR-12;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 09.01.1950 aus Pacific Palisades, handschriftlich;09.01.1950;Daten fehlen;4 Bl./4 S.;Deutsch;92260
B-I-ADOR-13;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 01.07.1950 aus Z�rich, handschriftlich;01.07.1950;Daten fehlen;4 Bl./4 S.;Deutsch;126072
B-I-ADOR-14;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 11.07.1950, handschriftlich;11.07.1950;Daten fehlen;7 Bl./7 S.;Deutsch;80702
B-I-ADOR-15;Thomas Mann an Theodor W. Adorno;Kopie der Ansichtskarte vom 31.08.1951 aus Bad Gastein, handschriftlich;31.08.1951;Daten fehlen;2 Bl./2 S.;Deutsch;97342
B-I-ADOR-16;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 18.09.1951, handschriftlich;18.09.1951;Daten fehlen;1 Bl./1 S.;Deutsch;93584
B-I-ADOR-17;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 09.01.1952 aus Pacific Palisades, handschriftlich;09.01.1952;Daten fehlen;4 Bl./4 S.;Deutsch;85238
B-I-ADOR-18;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 12.02.1952 aus Pacific Palisades, handschriftlich;12.02.1952;Daten fehlen;2 Bl./2 S.;Deutsch;120006
B-I-ADOR-19;Thomas Mann an Theodor W. Adorno;"Kopie des Briefes vom 19.04.1952 aus Pacific Palisades, handschriftlich.
Zus�tzlich vermerkt: uneinheitliche Briefkopie, die zweite Seite wurde nachtr�glich mit einer Kopie in anderer Qualit�t erg�nzt";19.04.1952;Daten fehlen;6 Bl./6 S.;Deutsch;113724
B-I-ADOR-20;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 30.09.1952 aus Z�rich, handschriftlich;30.09.1952;Daten fehlen;2 Bl./2 S.;Deutsch;85944
B-I-ADOR-21;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 30.10.1952 aus Z�rich, handschriftlich;30.10.1952;Daten fehlen;5 Bl./5 S.;Deutsch;123732
B-I-ADOR-22;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 08.03.1954 aus Erlenbach, handschriftlich;08.03.1954;Daten fehlen;6 Bl./6 S.;Deutsch;28954
B-I-ADOR-23;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 12.03.1955 aus Kilchberg, maschinenschriftlich;12.03.1955;Daten fehlen;1 Bl./1 S.;Deutsch;64005
B-I-ADOR-24;Thomas Mann an Theodor W. Adorno;Kopie des Briefes vom 30.07.1955 aus Z�rich, handschriftlich;30.07.1955;Daten fehlen;3 Bl./3 S.;Deutsch;44537
B-I-ADRI-1.1;Thomas Mann an Gert Adriani;Kopie der Ansichtskarte vom 10.12.1933 aus K�snacht, handschriftlich;10.12.1933;Daten fehlen;1 Bl./1 S.;Deutsch;39513
B-I-ADRI-1.2;Thomas Mann an Gert Adriani;"Abschrift der Ansichtskarte vom 10.12.1933 aus K�snacht, maschinenschriftlich.
Zus�tzlich vermerkt: mit handschriftlichem Kommentar von Gert Adriani.
Zus�tzliche Beilage, nachtr�glich: Abschrift der Abschrift";10.12.1933;Daten fehlen;1 Bl./1 S. + 1 Bl./1 S.;Deutsch;64813
B-I-ADRI-2.1;Thomas Mann an Gert Adriani;Kopie des Briefes vom 13.10.1949 aus Pacific Palisades, handschriftlich;13.10.1949;Daten fehlen;2 Bl./2 S.;Deutsch;41101
B-I-ADRI-2.2;Thomas Mann an Gert Adriani;"Abschrift des Briefes vom 13.10.1949 aus Pacific Palisades, maschinenschriftlich.
Zus�tzlich vermerkt: mit vereinzelten handschriftlichen Korrekturen (aus anderer Hand)";13.10.1949;Daten fehlen;1 Bl./1 S.;Deutsch;99142
B-I-ADRI-3.1;Thomas Mann an Gert Adriani;Kopie der Ansichtskarte ohne Datum und ohne Ort, mit Poststempel vom 17.06.1953 aus Erlenbach, handschriftlich;17.06.1953;gem�ss Poststempel;1 Bl./1 S.;Deutsch;98969
B-I-ADRI-3.2;Thomas Mann an Gert Adriani;Abschrift der Ansichtskarte ohne Datum und ohne Ort, mit Poststempel vom 17.06.1953 aus Erlenbach, maschinenschriftlich;17.06.1953;Daten fehlen;1 Bl./1 S.;Deutsch;130777
B-I-ADRI-4.1;Thomas Mann an Gert Adriani;Kopie der Ansichtskarte vom 20.12.1953 aus Erlenbach, handschriftlich;20.12.1953;Daten fehlen;1 Bl./1 S.;Deutsch;109869
B-I-ADRI-4.2;Thomas Mann an Gert Adriani;"Durchschlag zur Abschrift der Ansichtskarte vom 20.12.1953 aus Erlenbach, maschinenschriftlich.
Zus�tzlich vermerkt: mit Anmerkung und handschriftlicher Erg�nzung von Gert Adriani";20.12.1953;Daten fehlen;1 Bl./1 S.;Deutsch;90881
B-I-ADRI-5;Thomas Mann an Gert Adriani;Kopie der Briefkarte vom 20.08.1954 aus Kilchberg, handschriftlich;20.08.1954;Daten fehlen;1 Bl./1 S.;Deutsch;69383
B-I-ADRI-6.1;Thomas Mann an Gert Adriani;Kopie des Briefes vom 22.11.1954 aus Kilchberg, maschinenschriftlich;22.11.1954;Daten fehlen;1 Bl./1 S.;Deutsch;140405
B-I-ADRI-6.2;Thomas Mann an Gert Adriani;"Abschrift des Briefes vom 22.11.1954 aus Kilchberg, maschinenschriftlich.
Zus�tzlich vermerkt: mit handschriftlichen Korrekturen (aus anderer Hand)";22.11.1954;Daten fehlen;1 Bl./1 S.;Deutsch;117816
B-I-AFRI-1;Thomas Mann an den Editor of 'The African Bookman';Durchschlag zum Brief vom 24.02.1949, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;24.02.1949;Daten fehlen;1 Bl./1 S.;Englisch;114341
B-I-AFTO-1;Thomas Mann an die Redaktion der 'Aftontidningen', Stockholm;"Kopie des Briefes vom 27.05.1949 aus Stockholm, handschriftlich.
Kopie des Briefumschlags";27.05.1949;Daten fehlen;2 Bl./2 S.;Deutsch;44982
B-I-AGAR-1;Thomas Mann an Herbert Agar;"Durchschlag zum Brief vom 19.06.1940 ohne Ort, aus Princeton (gem�ss Regest, Ortsangabe wurde recherchiert), maschinenschriftlich.
Zus�tzlich vermerkt: mit einer handschriftlichen Korrektur";19.06.1940;Daten fehlen;1 Bl./1 S.;Englisch;138590
B-I-AGEN-1;Thomas Mann an die Agence Litt�raire Belge, Br�ssel;Durchschlag zum Brief vom 08.06.1946, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;08.06.1946;Daten fehlen;1 Bl./1 S.;Englisch;58954
B-I-AGEN-2;Thomas Mann an die Agence Litt�raire Belge, Br�ssel;Durchschlag zum Brief vom 05.07.1946, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;05.07.1946;Daten fehlen;1 Bl./1 S.;Englisch;135550
B-I-AGOS-1;Thomas Mann an Gerty Agoston;"Kopie des Briefes vom 21.04.1947 aus Pacific Palisades, handschriftlich.
Zus�tzliche Beilage: Kopie des Kommentars zum Brief von Gerty Agoston, maschinenschriftlich, mit handschriftlichen Korrekturen";21.04.1947;Daten fehlen;1 Bl./1 S. + 1 Bl./1 S.;Deutsch;52646
B-I-AGOS-2;Thomas Mann an Gerty Agoston;"Kopie des Briefes vom 10.07.1950 aus Z�rich, handschriftlich.
Kopie des Briefumschlags.
Beilage: Kopie des Kommentars zum Brief von Gerty Agoston, maschinenschriftlich";10.07.1950;Daten fehlen;2 Bl./2 S. + 1 Bl./1 S. + 1 Bl./1 S.;Deutsch;75926
B-I-AGOS-3.1;Thomas Mann an Gerty Agoston;Durchschlag zum Brief vom 08.02.1951 aus Pacific Palisades, maschinenschriftlich;08.02.1951;Daten fehlen;1 Bl./1 S.;Deutsch;40591
B-I-AGOS-3.2;Thomas Mann an Gerty Agoston;"Kopie des Briefes vom 08.02.1951 aus Pacific Palisades, maschinenschriftlich, mit handschriftlicher Korrektur.
Zus�tzliche Beilage: Kopie des Kommentars zum Brief von Gerty Agoston, maschinenschriftlich";08.02.1951;Daten fehlen;1 Bl./1 S. + 1 Bl./1 S.;Deutsch;89947
B-I-AGOS-4;Thomas Mann an Gerty Agoston;"Kopie der Postkarte vom 19.05.1951 ohne Ort, aus Pacific Palisades, handschriftlich.
Kopie des Briefumschlags mit Poststempel vom 20.05.1951 aus Pacific Palisades.
Zus�tzliche Beilage: Kopie des Kommentars zur Postkarte von Gerty Agoston, maschinenschriftlich";19.05.1951;Daten fehlen;1 Bl./1 S. + 1 Bl./1 S. + 1 Bl./1 S.;Deutsch;114256
B-I-AGOS-5;Thomas Mann an Gerty Agoston;"Kopie der Postkarte vom 26.07.1951 aus Z�rich, handschriftlich.
Zus�tzliche Beilage: Kopie des Kommentars zur Postkarte von Gerty Agoston, maschinenschriftlich";26.07.1951;Daten fehlen;1 Bl./1 S. + 1 Bl./1 S.;Deutsch;105235
B-I-AGUI-1;Sekretariat Thomas Mann an [Manuel] Aguilar;"Durchschlag zum Brief vom 30.03.1946 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich.
Zus�tzlich vermerkt: vom Sekret�r im Namen Thomas Manns geschrieben und unterzeichnet";30.03.1946;Daten fehlen;1 Bl./1 S.;Englisch;86313
B-I-AINM-1;Thomas Mann an Mildred C. Ain;Durchschlag zum Brief vom 28.02.1944 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;28.02.1944;Daten fehlen;1 Bl./1 S.;Englisch;116098
B-I-AITA-1;Thomas Mann an Antonio Aita;Brief, Original, aus K�snacht, maschinenschriftlich;24.10.1935;Daten fehlen;1 Bl./2 S.;Deutsch;55264
B-I-AITA-2;Thomas Mann an Antonio Aita;Brief, Original, aus K�snacht, maschinenschriftlich;15.12.1935;Daten fehlen;1 Bl./2 S.;Deutsch;102142
B-I-AITA-3;Thomas Mann an Antonio Aita;Brief, Original, aus K�snacht, maschinenschriftlich;09.04.1936;Daten fehlen;1 Bl./2 S.;Deutsch;141023
B-I-AITA-4;Thomas Mann an Antonio Aita;Brief, Original, aus K�snacht, maschinenschriftlich;01.06.1936;Daten fehlen;1 Bl./1 S.;Deutsch;68606
B-I-AITA-5;Thomas Mann an Antonio Aita;Brief, Original, aus K�snacht, maschinenschriftlich, mit handschriftlichen Korrekturen;23.06.1936;Daten fehlen;2 Bl./2 S.;Deutsch;111569
B-I-AITA-6;Thomas Mann an Antonio Aita;Brief, Original, ohne Datum, vermutlich im Juli 1939, aus Noordwijk aan Zee, maschinenschriftlich;7.1939;ohne Datum, vermutlich im Juli 1939 (Sommeraufenthalt in Noordwijk aan Zee bis 5. August 1939);1 Bl./2 S.;Franz�sisch;131716
B-I-AITA-7;Thomas Mann an Antonio Aita;Brief, Original, aus Kilchberg, maschinenschriftlich;12.06.1954;Daten fehlen;2 Bl./2 S.;Franz�sisch;92379
B-I-AITA-8;Thomas Mann an Antonio Aita;Brief, Original, aus Kilchberg, maschinenschriftlich;03.07.1954;Daten fehlen;1 Bl./1 S.;Franz�sisch;98425
B-I-ALBE-1;Thomas Mann an Erna Albersheim;Kopie des Briefes vom 08.02.1946 aus Pacific Palisades, handschriftlich;08.02.1946;Daten fehlen;1 Bl./1 S.;Deutsch;34793
B-I-ALBE-2;Thomas Mann an Erna Albersheim;Kopie des Briefes vom 05.10.1948 aus Pacific Palisades, handschriftlich;05.10.1948;Daten fehlen;1 Bl./1 S.;Deutsch;113432
B-I-ALBE-3;Thomas Mann an Erna Albersheim;"Kopie der Ansichtskarte vom 10.03.1951 ohne Ort, gem�ss Regest aus Pacific Palisades, handschriftlich.
Zus�tzlich vermerkt: mit kurzer handschriftlicher Erl�uterung von Erna Albersheim";10.03.1951;Daten fehlen;1 Bl./1 S.;Deutsch;35314
B-I-ALBEG-1;Thomas Mann an Gerhard Albersheim;Abschrift des Briefes vom 13.04.1942 ohne Ort, aus Pacific Palisades (gem�ss Regest, Ortsangabe wurde recherchiert), maschinenschriftlich;13.04.1942;Daten fehlen;1 Bl./1 S.;Deutsch;40666
B-I-ALBEG-2;Thomas Mann an Gerhard Albersheim;Kopie des Briefes vom 07.10.1944 aus Pacific Palisades, handschriftlich;07.10.1944;Daten fehlen;2 Bl./2 S.;Deutsch;118675
B-I-ALBEG-3;Thomas Mann an Gerhard Albersheim;Kopie des Briefes vom 01.04.1945 aus Pacific Palisades, handschriftlich;01.04.1945;Daten fehlen;2 Bl./2 S.;Deutsch;142553
B-I-ALBEG-4;Thomas Mann an Gerhard Albersheim;Kopie des Briefes vom 05.10.1945 aus Pacific Palisades, handschriftlich;05.10.1945;Daten fehlen;2 Bl./2 S.;Deutsch;98236
B-I-ALBEG-5;Thomas Mann an Gerhard Albersheim;Kopie des Briefes vom 10.11.1945 aus Pacific Palisades, handschriftlich;10.11.1945;Daten fehlen;2 Bl./2 S.;Deutsch;123819
B-I-ALBEG-6;Thomas Mann an Gerhard Albersheim;Kopie des Briefes vom 18.01.1946 aus Pacific Palisades, handschriftlich;18.01.1946;Daten fehlen;1 Bl./1 S.;Deutsch;78237
